"Tabela 9886 - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas, por alfabetização, cor ou raça, sexo e grupos de idade, segundo as Favelas e Comunidades Urbanas",,,,,,,,,,,,,,
Variável - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas (Pessoas),,,,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Ano x Alfabetização x Cor ou raça,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,2022,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Alfabetizadas,,,,,,Não alfabetizadas,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Branca,Preta,Amarela,Parda,Indígena,Sem declaração
Vila Independência I - Belo Horizonte (MG),Homens,80 anos ou mais,2,2,-,1,-,-,2,1,-,3,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,15 a 19 anos,25,16,-,51,1,-,-,-,-,-,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,20 a 24 anos,19,16,-,54,-,-,-,1,-,1,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,25 a 34 anos,46,48,1,101,-,-,1,-,-,3,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,35 a 44 anos,61,39,1,98,1,-,-,-,-,1,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,45 a 54 anos,24,30,-,119,2,-,-,3,-,1,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,55 a 64 anos,43,32,2,62,1,-,5,4,-,8,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,65 anos ou mais,36,29,-,62,1,-,9,13,-,25,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,75 anos ou mais,7,11,-,22,-,-,5,4,-,12,-,-
Vila Independência I - Belo Horizonte (MG),Mulheres,80 anos ou mais,3,6,-,11,-,-,3,2,-,8,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,15 a 19 anos,2,6,-,7,-,-,-,1,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,20 a 24 anos,2,5,-,11,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,25 a 34 anos,7,13,-,24,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,35 a 44 anos,5,7,-,19,-,-,-,1,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,45 a 54 anos,6,5,-,13,-,-,-,1,-,1,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,55 a 64 anos,11,6,-,17,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,65 anos ou mais,10,9,-,5,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,75 anos ou mais,2,1,-,3,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Homens,80 anos ou mais,1,-,-,1,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,15 a 19 anos,6,3,-,9,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,20 a 24 anos,3,10,-,10,-,-,-,-,-,1,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,25 a 34 anos,6,7,-,24,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,35 a 44 anos,7,8,-,25,-,-,-,-,-,1,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,45 a 54 anos,8,11,-,21,-,-,-,-,-,1,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,55 a 64 anos,12,13,-,17,-,-,-,-,-,-,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,65 anos ou mais,9,13,-,21,-,-,-,-,-,2,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,75 anos ou mais,3,9,-,8,-,-,-,-,-,2,-,-
Vila Nossa Senhora do Rosário - Belo Horizonte (MG),Mulheres,80 anos ou mais,2,6,-,6,-,-,-,-,-,2,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,15 a 19 anos,32,25,-,70,-,-,-,-,-,1,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,20 a 24 anos,33,42,-,55,-,-,-,-,-,-,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,25 a 34 anos,64,67,-,105,-,-,1,1,-,3,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,35 a 44 anos,69,61,-,100,-,-,1,1,-,3,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,45 a 54 anos,62,55,-,103,-,-,2,4,-,4,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,55 a 64 anos,60,46,-,60,1,-,7,3,-,7,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,65 anos ou mais,37,29,-,46,-,-,12,3,-,13,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,75 anos ou mais,8,7,-,11,-,-,6,2,-,6,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Homens,80 anos ou mais,5,3,-,6,-,-,4,1,-,6,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,15 a 19 anos,34,27,-,45,-,-,2,-,-,-,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,20 a 24 anos,43,32,-,70,-,-,1,-,-,-,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,25 a 34 anos,80,66,-,128,1,-,-,-,-,-,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,35 a 44 anos,60,57,-,121,-,-,-,1,-,2,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,45 a 54 anos,59,61,-,113,-,-,2,1,-,4,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,55 a 64 anos,76,63,-,112,-,-,8,2,-,11,-,-
